name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,Selfie Camera,model
მობილური iphone 6,250.0,Yes ,Yes,1500,No ,LCD ,Yes ,64,Yes ,Yes ,1,iOS ,1,1.0,5.1,One SIM ,Nano-SIM ,No ,Yes ,2015 Y.,1,6
მობილური iphone 7,400.0,Yes ,Yes,1500,No ,LCD ,Yes ,64,Yes ,No ,1,iOS ,2,4.0,5.1,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,1,7
Iphone 7,350.0,Yes ,No,2700,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,8,4.0,4.0,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,5,7
Impone 6 გამოგადგებათ ნაწილებადაც!,100.0,Yes ,No,1500,No ,LCD ,No ,16,Yes ,No ,2,iOS ,1,2.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,1,6
იყიდება შავი Iphone 8 plus,950.0,Yes ,Yes,1000,No ,IPS LCD ,No ,64,Yes ,No ,1,iOS ,2,4.0,5.5,One SIM ,Mini-SIM ,No ,Yes ,2019 Y.,1,8
Iphone 5s gold,160.0,Yes ,No,1900,Yes ,LCD ,Yes ,16,Yes ,Yes ,1,iOS ,1,1.0,3.5,One SIM ,Mini-SIM ,Yes ,Yes ,2013 Y.,1,5s
Iphone 12 Pro Max,1000.0,Yes ,Yes,1100,Yes ,AMOLED ,Yes ,8,Yes ,No ,0,iOS ,13,0.5,3.0,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,1,12 pro
iphone 12 pro graphite 128 gb,2950.0,Yes ,Yes,4100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,4.4,One SIM ,Nano-SIM ,No ,Yes ,2020 Y.,8,12 pro
APPLE IPHONE 7 32GB ID: 163191-2,350.0,Yes ,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
APPLE IPHONE X 64GB ID: 163007-2,950.0,Yes ,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.9,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,x
APPLE IPHONE 8 64GB ID:161978-2,550.0,Yes ,No,1900,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
11 პრო,2100.0,Yes ,No,3200,Yes,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,3,iOS ,1,4.0,5.8,Dual SIM ,Nano-SIM ,,,2019 Y.,1,11
APPLE IPHONE 12 128GB ID: 161361-2,2300.0,Yes ,Yes,2900,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,2,iOS ,12,4.0,6.15,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,12
Iphone 7 ( 32GB),480.0,No ,No,1000,No ,LCD ,Yes ,64,Yes ,No ,2,iOS ,1,4.0,4.7,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,1,7
APPLE IPHONE 7 32GB ID: 160881-2,270.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
Iphone 8 ( 64GB),350.0,Yes ,No,1100,No ,IPS LCD ,Yes ,64,Yes ,No ,2,iOS ,1,4.0,4.7,One SIM ,Micro-SIM ,Yes ,Yes ,2017 Y.,1,8
iphone 6s,180.0,Yes ,Yes,1700,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,1,6s
iphone 7 128GB,470.0,Yes ,Yes,7000,No ,Retina IPS LCD ,Yes ,128,Yes ,Yes ,2,iOS ,12,4.0,4.7,One SIM ,Mini-SIM ,No ,Yes ,2019 Y.,5,7
iPhone 12 Pro 256GB ბათუმი,3150.0,Yes ,Yes,3800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,1,12 pro
iphone 5s,90.0,Yes ,No,1600,No ,LCD ,Yes ,16,Yes ,No ,2,iOS ,8,1.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2013 Y.,2,5s
Iphone 6s,230.0,Yes ,Yes,2400,Yes ,AMOLED ,Yes ,16,Yes ,Yes ,2,iOS ,16,3.0,5.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,5,6s
იყიდება Iphone 8,600.0,Yes ,No,4000,Yes ,IPS ,Yes ,64,Yes ,No ,1,iOS ,1,4.0,5.2,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,1,8
iPhone 6s 16GB Sim Free,250.0,Yes ,No,2300,Yes ,IPS LCD ,Yes ,16,Yes ,Yes ,1,iOS ,13,4.0,5.0,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,6s
iphone 8 pluse 64 gb,819.0,No ,No,3000,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,13,3.0,6.67,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,8
IPHONE 12,2800.0,Yes ,No,600,Yes ,IPS ,Yes ,64,Yes ,Yes ,2,iOS ,2,12.0,4.1,One SIM ,Mini-SIM ,Yes ,Yes ,2020 Y.,1,12
iphone 7 128 gb,450.0,Yes ,No,2000,Yes ,IPS ,Yes ,128,Yes ,Yes ,2,iOS ,1,4.0,5.2,One SIM ,Mini-SIM ,Yes ,Yes ,2021 Y.,1,7
Iphone xs max,1280.0,Yes ,No,1500,No ,TFT ,Yes ,64,Yes ,No ,2,iOS ,1,4.0,4.1,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,1,xs max
Iphone 11 pro 64Gb 93% battery,2150.0,Yes ,No,3100,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,4.0,5.8,One SIM ,Micro-SIM ,Yes ,Yes ,2019 Y.,1,11 pro
iphon X,1050.0,Yes ,Yes,800,Yes ,IPS LCD ,Yes ,32,Yes ,Yes ,2,iOS ,2,2.0,4.2,One SIM ,Mini-SIM ,No ,Yes ,2018 Y.,1,x
Iphon 8,674.2162162,Yes ,No,6000,No ,IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,8,4.0,5.71,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,5,8
IPhone SE 2020 64 GB,850.0,Yes ,Yes,1800,Yes ,Retina IPS LCD ,Yes ,64,Yes ,No ,2,iOS ,1,4.0,5.4,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,1,se
iphone 11 64gb,1500.0,Yes ,No,3000,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,No ,2,iOS ,2,4.0,6.09,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,1,11
"იყიდება IPhone 7 Rose Gold, 128 GB",450.0,Yes ,No,1200,Yes ,LCD ,Yes ,128,Yes ,No ,2,iOS ,2,8.0,4.2,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,1,7
Iphone 11,1800.0,Yes ,No,3100,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,24,11
Iphone 7 (32GB),450.0,Yes ,Yes,1000,No ,LCD ,Yes ,64,Yes ,No ,2,iOS ,1,4.0,4.9,One SIM ,Micro-SIM ,No ,No ,2016 Y.,1,7
Iphone 6,200.0,Yes ,Yes,500,No ,TFT ,Yes ,64,Yes ,Yes ,1,iOS ,1,12.0,3.0,One SIM ,Mini-SIM ,Yes ,Yes ,2014 Y.,1,6
Iphone XR 128gb,950.0,Yes ,No,1600,No ,LCD ,Yes ,128,Yes ,No ,1,iOS ,12,4.0,6.0,One SIM ,Nano-SIM ,,,2019 Y.,1,xr
IPHONE XS PRO MAX 512 GB შავი,1500.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,512,Yes ,Yes ,4,iOS ,12,4.0,6.5,Dual SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs pro
Iphone 6s,250.0,Yes ,No,1700,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,1,6s
iphone 11 pro max,2300.0,No ,No,5500,Yes,Super Retina XDR OLED ,No ,64,Yes ,No ,3,iOS ,3,6.0,6.26,Dual SIM ,Nano-SIM ,,,2021 Y.,2,11 pro
iphone x 256 gb აიფონ x 256 გბ,1000.0,Yes ,No,1100,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,1,x
iphone 7 32gb,380.0,Yes ,No,2000,No ,LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
iphone 6s 32gb,320.0,Yes ,No,2100,No ,IPS ,Yes ,32,Yes ,Yes ,2,iOS ,13,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,8,6s
iphone 6s 16gb,300.0,Yes ,No,2000,No ,IPS LCD ,Yes ,16,Yes ,Yes ,2,iOS ,13,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,8,6s
iphone 6s 16gb,280.0,Yes ,No,2100,No ,Retina IPS LCD ,Yes ,16,Yes ,Yes ,2,iOS ,13,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6s
iphone 5c 16gb,140.0,Yes ,No,1900,Yes ,LCD ,Yes ,16,Yes ,No ,1,iOS ,5,1.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,5c
iphone 5 32GB,150.0,Yes ,No,1800,No ,IPS ,Yes ,32,Yes ,No ,1,iOS ,5,1.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2012 Y.,5,5
iPhone XS 256 GB Gold გაბზარულია უკან,1000.0,Yes ,No,2600,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4.0,5.8,Dual SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs
iphone xs max,1300.0,Yes ,No,3300,,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,2,4.0,6.7,Dual SIM ,Nano-SIM ,,,2019 Y.,1,xs max
APPLE IPHONE XS 64GB ID: 163260-4,1150.0,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs
iphone 12 pro max,2800.0,Yes ,Yes,3600,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,iOS ,12,6.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,1,12 pro
iPhone 6 16 GB განვადებათბს საქართველო კრედო ბანკი,270.0,Yes ,No,1700,Yes ,LCD ,Yes ,16,Yes ,Yes ,1,iOS ,12,1.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,12,6
"iPhone 8 64GB 1წლიანი გარანტია, განვადება კრედო,",800.0,Yes ,No,1800,Yes ,LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,8,8
იყიდება Iphone 6,150.0,Yes ,Yes,1800,,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,8,1.0,4.7,One SIM ,Nano-SIM ,,,2014 Y.,1,6
iphone 4s iafad,50.0,Yes ,No,1500,No ,LCD ,No ,16,No ,No ,2,iOS ,8,0.5,3.5,One SIM ,Micro-SIM ,Yes ,Yes ,2011 Y.,1,4s
იყიდება Iphone 6,180.0,Yes ,Yes,9000,,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,8,1.0,4.7,One SIM ,Nano-SIM ,,,2014 Y.,1,6
iphone 5 16 GB uproblemo,90.0,Yes ,No,1500,No ,IPS ,Yes ,16,Yes ,No ,2,iOS ,8,1.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2012 Y.,2,5
iphone 6s,200.0,Yes ,No,1700,No ,IPS LCD ,No ,64,No ,No ,2,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,,,2015 Y.,1,6s
iPhone 6 16 GB,150.0,Yes ,No,1800,No ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,1,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,1,6
"IPhone 8 64 GB -1 წლიანი გარანტიით, განავდებით",1000.0,Yes ,No,1800,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
"IPhone XR 64GB -1 წლიანი გარანტიით,განავდებით",999.0,Yes ,No,1800,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,12,xr
"Apple Iphone 11 Pro 256GB -1 წლიანი გარანტიით, განვადებით",2649.0,Yes ,No,3000,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11 pro
"IPhone X 64GB -1 წლიანი გარანტიით,განვადებით",1399.0,Yes ,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,x
"IPhone X 64GB -1 წლიანი გარანტიით, განვდებით",999.0,Yes ,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,x
"IPhone X 64GB -1 წლიანი გარანტიით, განვადებით",1299.0,Yes ,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,x
"IPhone 8 64GB -1 წლიანი გარანტიით, განვადებით",949.0,Yes ,No,1800,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
"IPhone 8 64GB GOLD -1 წლიანი გარანტიით, განვადებით",899.0,Yes ,No,1800,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
iphone 7 dazianebulia,170.0,Yes ,No,2000,No ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,7,7
saswrafod!!! iphone 6 plus sim free,180.0,Yes ,No,3000,No ,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,8,1.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,5,6
"IPhone X 64GB -1 წლიანი გარანტიით, განვადებით",1399.0,Yes ,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,x
Apple 8 Plus 64GB - 1 წლიანი გარანტიით განვადებით,1199.0,Yes ,No,2600,No ,LTPS IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8+
"IPhone Xs Max 512GB -1 წლიანი გარანტიით, განვადებით",2499.0,Yes ,No,3000,Yes ,Dynamic AMOLED ,Yes ,512,Yes ,Yes ,2,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs max
"IPhone 11 Pro max 64GB -1წლიანი გარანტიით, განვადებით",2949.0,Yes ,Yes,3900,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,7,11 pro
"IPhone 6S 32 GB - 1 წლიანი განვადებით, გარანტიით",420.0,Yes ,No,1700,Yes ,LCD TFT ,Yes ,32,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6s
"IPhone 11 Pro Max 64 GB - 1 წლიანი გარანტიით, განავდებით",2799.0,Yes ,No,3900,No ,Dynamic AMOLED ,Yes ,64,Yes ,No ,2,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11 pro
"IPhone 6S Plus 64 GB -1 წლიანი გარანტიით, განვადებით",699.0,Yes ,No,2700,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,2.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,7,6s
IPhone XS 64GB -1 წლიანი გარანტიით,1599.0,Yes ,No,2600,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,7,xs
"IPhone XS 64GB -1 წლიანი გარანტიით, განვადებით",1599.0,Yes ,No,2700,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs
"IPhone 6 Plus 16 GB -1 წლიანი გარანტიით, განვადებით",499.0,Yes ,No,2900,No ,LCD TFT ,Yes ,16,Yes ,Yes ,2,iOS ,8,1.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,1,6
iphone 11,1400.0,Yes ,No,3400,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,2,4.0,6.26,One SIM ,Micro-SIM ,Yes ,Yes ,2019 Y.,1,11
iPhone XS,1300.0,Yes ,No,3000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,5,xs
iPhone 7,350.0,Yes ,No,1900,Yes ,LCD ,Yes ,128,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,5,7
Iphone Xs,1350.0,Yes ,Yes,2600,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,6.0,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,1,xs
Iphone 12 pro max,3300.0,Yes ,Yes,3700,Yes ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,iOS ,12,6.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,12 pro
Iphone 12 .,2400.0,Yes ,Yes,2800,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,12
Iphone 11 pro,2300.0,Yes ,Yes,3100,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,8,11 pro
iPhone 7 32 Gb,500.0,No ,No,1700,Yes ,IPS ,Yes ,32,Yes ,Yes ,1,iOS ,1,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,1,7
iPhone 8 Plus 64GB Gold,800.0,No ,No,2900,,IPS LCD ,No ,64,Yes ,No ,2,iOS ,13,4.0,5.5,One SIM ,Nano-SIM ,,,2019 Y.,8,8
iPhone 12 Pro MAX 256GB,3100.0,Yes ,Yes,4300,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,iOS ,12,6.0,6.67,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,8,12 pro
iPhone X 64 GB,750.0,Yes ,Yes,2700,No ,Dynamic AMOLED ,Yes ,64,Yes ,No ,2,iOS ,2,4.0,5.8,One SIM ,Nano-SIM ,No ,Yes ,2017 Y.,1,x
iphone 5s არ ირთვება,30.0,Yes ,No,1300,No ,LCD ,Yes ,16,Yes ,No ,2,iOS ,1,2.0,4.2,One SIM ,Nano-SIM ,Yes ,Yes ,2012 Y.,1,5s
Apple Iphone 11 pro max 64GB gold,2300.0,Yes ,No,3200,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,4.0,6.7,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,2,11 pro
Apple Iphone 11 pro max 64GB gold,2300.0,Yes ,No,3200,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,4.0,6.7,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,2,11 pro
Apple Iphone 11 pro 256GB,2300.0,Yes ,No,2400,Yes ,Super AMOLED ,Yes ,256,Yes ,Yes ,3,iOS ,3,4.0,5.8,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,1,11 pro
iPhone 7 32 gb sim free,400.0,Yes ,Yes,2000,Yes ,LCD TFT ,Yes ,32,Yes ,Yes ,1,iOS ,20,4.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,13,7
iPhone X 64GB Sim Free,1100.0,Yes ,Yes,3500,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,48,8.0,5.0,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,20,x
iphone 11 Pro,2050.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,5.8,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,11 pro
Iphone 11 green 64gb,1550.0,Yes ,Yes,700,Yes ,LCD ,Yes ,4,Yes ,Yes ,1,Feature phones ,2,0.5,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2000 Y.,1,11
Apple iPhone 6s 32GB,270.0,Yes ,No,1800,No ,Retina IPS LCD ,Yes ,32,Yes ,No ,1,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,7,6s
IPHONE 11 PRO MAX 646GB Space Gray 91%,2450.0,Yes ,No,4000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,11 pro
IPHONE X 64GB Silver 96%,1000.0,Yes ,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,x
IPHONE 8 64GB Red,600.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
IPHONE XR Black 64GB 89%,1000.0,Yes ,No,3000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,7,xr
Apple iPhone SE (2020) 88% Space Gray,820.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,7,se
Iphone 11 Purple 85% ტურბო სიმი ნაკაწრები.,1200.0,Yes ,No,3100,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,11
IPHONE 11 PRO Space Gray 64GB,1950.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,11 pro
IPHONE XS 256GB Space Gray. ყუთით დაზიანებული,800.0,Yes ,No,2800,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs
