name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,Selfie Camera,model
IPHONE 8 64GB Space Gray,600.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,8
დაბლოკილი!!! IPHONE XR Black - Blue 64GB,400.0,Yes ,No,3000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,7,xr
IPHONE 5 აიქლაუდზე დაბლოკილი ნაწილებად.,50.0,Yes ,No,1500,No ,IPS ,Yes ,16,Yes ,No ,1,iOS ,8,4.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,5
IPHONE 11 PRO Silver 64GB,1950.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,11 pro
IPHONE 8 PLUS Red 64GB,630.0,Yes ,No,2700,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,8
iphone 8 black 64 GB,629.0,Yes ,Yes,2600,No ,LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,8
iphone 6s 64GB,180.0,Yes ,No,1700,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,,,2015 Y.,8,6s
Iphone 7,430.0,Yes ,Yes,4500,Yes ,IPS ,Yes ,64,Yes ,Yes ,2,iOS ,64,4.0,5.1,Dual SIM ,Mini-SIM ,Yes ,Yes ,2020 Y.,1,7
iphone 7 black 32 GB,399.0,Yes ,Yes,2600,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,7
iphone 6s space gray 32 GB,299.0,Yes ,Yes,2600,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,5,6s
iphone 7 silver 32 gb,350.0,Yes ,Yes,2700,Yes ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,7
iphone 7,330.0,Yes ,No,1800,No ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,1,2.0,4.6,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,1,7
iPhone 11,1850.0,Yes ,No,3100,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,13,11
IPHONE 6 16GB აიქლაუდზე დაბლოკილი,90.0,Yes ,No,1800,No ,Retina IPS LCD ,Yes ,16,Yes ,No ,1,iOS ,8,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,5,6
Iphone 12 Pro max,3550.0,Yes ,Yes,3700,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,iOS ,12,6.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,12 pro
iPhone 11 pro max 512gb,2700.0,Yes ,No,4000,Yes ,Super Retina XDR OLED ,Yes ,512,Yes ,Yes ,3,iOS ,64,4.0,6.5,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,1,11 pro
Iphone 7 ყუთით და კარგ მდგომარეობაში,450.0,Yes ,Yes,900,No ,LCD ,Yes ,32,Yes ,No ,2,iOS ,2,4.0,5.3,One SIM ,Nano-SIM ,Yes ,No ,2016 Y.,1,7
იყიდება აიფონ 11-iphone 11,1900.0,Yes ,Yes,2400,No ,IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.5,One SIM ,Micro-SIM ,No ,Yes ,2019 Y.,1,11
iphon xs max,1330.0,Yes ,No,2800,No ,LCD ,Yes ,256,Yes ,Yes ,3,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,8,xs max
სასწრაფოდ! იყიდება Iphone XS.,2000.0,Yes ,No,1000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,64,8.0,4.3,One SIM ,Nano-SIM ,No ,Yes ,2019 Y.,1,xs
Iphone xs,1150.0,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.8,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,8,xs
iphone 5s 16 gb,130.0,Yes ,No,500,No ,LCD ,Yes ,16,Yes ,No ,1,iOS ,1,12.0,3.0,One SIM ,Micro-SIM ,,,2000 Y.,1,5s
Apple iPhone 7 Plus 32GB Gold,480.0,Yes ,No,2900,No ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,8,2.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,1,7
iphone se 2020,710.0,No ,No,1800,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,8,se
Iphone 7 32Gb Matte Black,400.0,Yes ,No,1900,No ,LCD ,Yes ,32,Yes ,No ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,No ,No ,2016 Y.,7,7
Iphone SE 2020,1100.0,Yes ,Yes,3000,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,4.7,One SIM ,Micro-SIM ,Yes ,Yes ,2020 Y.,1,se
Iphone 6s Gold 32gb 100% +Usb,250.0,Yes ,No,1700,,IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,1,3.0,4.7,One SIM ,Nano-SIM ,,,2016 Y.,1,6s
Iphone 8 64gb 92%,450.0,Yes ,No,1900,,IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,,,2017 Y.,1,8
Iphone 8 64gb 92%,450.0,Yes ,No,1900,,IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,,,2017 Y.,1,8
iphone 6S აიფონ 6ს,320.0,Yes ,No,2400,Yes ,AMOLED ,Yes ,16,Yes ,No ,1,iOS ,1,2.0,3.5,One SIM ,Micro-SIM ,Yes ,Yes ,2015 Y.,1,6s
iphone 8,650.0,Yes ,No,1900,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,1,4.0,6.5,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,1,8
Iphone X 64 gb,1037.433333,Yes ,No,500,No ,LCD ,Yes ,64,Yes ,No ,1,iOS ,1,12.0,6.47,One SIM ,Micro-SIM ,Yes ,Yes ,2017 Y.,1,x
iphone xs max 64gb,1200.0,Yes ,No,3200,Yes,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,,,2019 Y.,7,xs max
Iphone 5 SE,200.0,Yes ,No,600,No ,IPS ,Yes ,64,Yes ,No ,2,iOS ,2,4.0,4.2,One SIM ,Micro-SIM ,No ,Yes ,2012 Y.,1,5
ipone 13 pro,4099.0,No ,Yes,10000,No ,,Yes ,128,Yes ,Yes ,2,iOS ,3,4.0,6.6,One SIM ,Nano-SIM ,No ,Yes ,2021 Y.,1,13 pro
iPhone 7 plus 32 GB,615.0,Yes ,No,3000,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,64,3.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,64,7+
IPHONE 12 PRO MAX 256GB ID:151878-2,3350.0,Yes ,Yes,4700,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,iOS ,12,6.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2021 Y.,12,12 pro
APPLE IPHONE 8 64GB ID:158715-V,600.0,Yes ,No,1900,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
APPLE IPHONE 12 MINI 64GB ID: 153558-V,1800.0,Yes ,Yes,2300,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.2,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,13,12
IPHONE 11 64GB RED ID:155288-3,1700.0,Yes ,No,3100,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.3,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11
IPHONE 6S 32GB ID: 144250-4,280.0,Yes ,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,6s
APPLE IPHONE 11 64GB ID:160773-3,1900.0,Yes ,No,3100,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,64,4.0,6.59,One SIM ,Micro-SIM ,No ,Yes ,2019 Y.,12,11
APPLE IPHONE 7 32GB ID: 159664-2,380.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
APPLE IPHONE 7 32GB ID: 159664-2,380.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
APPLE IPHONE 6S 32GB ID: 159751-4,270.0,Yes ,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,6s
IPHONE SE 2020 64GB ID: 153386-1,900.0,Yes ,No,1900,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,3.0,4.6,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,7,se
IPHONE 7 32GB A1778 ID: 149655-2,350.0,Yes ,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,7,7
IPHONE 6S 32GB ID: 158325-2,260.0,Yes ,No,1800,No ,IPS LCD ,Yes ,32,Yes ,No ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,2,6s
IPHONE 6S 16 GB ID:120774-4,270.0,Yes ,No,1800,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,6s
IPHONE 6S 16GB ID: 154264-1,200.0,Yes ,No,1800,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,iOS ,12,2.0,4.5,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6s
APPLE IPHONE 11 64GB ID:159461-2,1750.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11
IPHONE 6S 32GB ID: 158325-2,260.0,Yes ,No,1800,No ,IPS LCD ,Yes ,32,Yes ,No ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,2,6s
IPHONE 7 32GB A1778 ID: 149655-2,350.0,Yes ,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,7,7
IPHONE SE 2020 64GB ID: 153386-1,900.0,Yes ,No,1900,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,3.0,4.6,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,7,se
APPLE IPHONE 6S 32GB ID: 159751-4,270.0,Yes ,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,6s
APPLE IPHONE 7 32GB ID: 159664-2,380.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
APPLE IPHONE 11 64GB ID:160773-3,1900.0,Yes ,No,3100,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,64,4.0,6.59,One SIM ,Micro-SIM ,No ,Yes ,2019 Y.,12,11
IPHONE 6S 32GB ID: 144250-4,280.0,Yes ,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,6s
IPHONE 11 64GB RED ID:155288-3,1700.0,Yes ,No,3100,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.3,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11
IPHONE 7 32 GB ID: 145922-4,300.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,7,7
APPLE IPHONE 11 64 GB ID: 153088-V,1800.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11
APPLE IPHONE 6S 32GB ID: 157974-V,220.0,Yes ,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,6s
IPHONE 6S 16GB ID: 147872-1,260.0,Yes ,No,1800,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6s
APPLE IPHONE 8 PLUS 64GB ID: 155615-V,780.0,Yes ,No,2700,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
IPHONE 12 PRO MAX 128GB ID:131485-2,3250.0,Yes ,Yes,3700,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,iOS ,12,6.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,12 pro
APPLE IPHONE 7 32GB A1660 ID: 157539-V,270.0,Yes ,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.6,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
IPHONE 12 PRO MAX 128GB ID:147383-3,2950.0,Yes ,Yes,4700,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,iOS ,12,6.0,6.53,One SIM ,Nano-SIM ,Yes ,Yes ,2021 Y.,12,12 pro
IPHONE 11 64 GB ID: 157361-3,1850.0,Yes ,No,3200,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11
IPHONE 11 64 GB ID: 157361-3,1850.0,Yes ,No,3200,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11
IPHONE 7 32GB ID: 153549-2,400.0,Yes ,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,7,7
IPHONE SE 2020 64GB ID: 159825-1,870.0,Yes ,No,1900,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,7,se
IPHONE 11 64GB RED ID:157744-V,1800.0,Yes ,No,3100,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11
IPHONE 7 32GB ID: 126318-4,300.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
IPHONE 12 PRO 128GB ID: 152947-1,3100.0,Yes ,Yes,2900,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,iOS ,32,6.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,12 pro
IPHONE 7 PLUS 32GB ID: 125293-4,350.0,Yes ,No,2900,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,3.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,7,7
IPHONE 5S 16GB ID:110832-4,90.0,Yes ,No,1600,No ,IPS LCD ,Yes ,16,Yes ,No ,1,iOS ,8,1.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2013 Y.,1,5s
APPLE IPHONE 11 64GB ID:157865-V,1700.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.7,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11
IPHONE 11 PRO 64 GB ID: 140470-V,1900.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,6.0,6.2,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,13,11 pro
APPLE IPHONE 6 16GB ID:125915-V,150.0,Yes ,No,1800,Yes ,IPS LCD ,Yes ,16,Yes ,No ,1,iOS ,12,1.0,4.6,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6
IPHONE 7 32GB ID: 153549-2,400.0,Yes ,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,7,7
IPHONE 11 64 GB ID: 157361-3,1850.0,Yes ,No,3200,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11
APPLE IPHONE 6S 32GB ID: 146091-V,270.0,Yes ,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,1.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,6s
APPLE IPHONE 7 32 GB ID: 145513-V,350.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
IPHONE 6S 32GB ID: 157300-2,250.0,Yes ,No,1800,No ,IPS LCD ,Yes ,32,Yes ,No ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6s
APPLE IPHONE X 64GB ID: 150601-V,1100.0,Yes ,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,x
APPLE IPHONE 8 64GB ID:158723-V,580.0,Yes ,No,1900,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2.0,4.6,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
IPHONE 6S 16GB ID: 147222-1,180.0,Yes ,No,1800,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,iOS ,12,2.0,4.6,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6s
IPHONE 6S 16 GB ID:150496-4,230.0,Yes ,No,1800,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6s
APPLE IPHONE 8 64 GB ID: 151080-V,480.0,Yes ,No,1900,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,8,8
APPLE IPHONE X 64GB ID: 150601-V,1100.0,Yes ,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,x
IPHONE 6S 32GB ID: 157300-2,250.0,Yes ,No,1800,No ,IPS LCD ,Yes ,32,Yes ,No ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6s
APPLE IPHONE 7 32 GB ID: 145513-V,350.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
APPLE IPHONE 6S 32GB ID: 146091-V,270.0,Yes ,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,1.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,6s
iphone x saswrapot 900 gel,880.0,Yes ,Yes,2700,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,13,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,x
"იყიდება iphone 7 gold, თავის ყუთით უნაკაწრო იდეალურ მდგომარე",500.0,Yes ,No,1000,Yes ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,1,4.0,6.0,One SIM ,Mini-SIM ,No ,Yes ,2017 Y.,1,7
Iphone 7 აიფონი 7,589.0,Yes ,Yes,700,No ,LCD ,Yes ,128,Yes ,Yes ,1,iOS ,1,1.0,3.5,One SIM ,Mini-SIM ,Yes ,Yes ,2016 Y.,1,7
iphone 7+,680.0,Yes ,No,2900,No ,LCD ,Yes ,32,Yes ,No ,1,iOS ,12,3.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,8,7+
ipnone 5s,170.0,Yes ,No,1600,Yes ,Super AMOLED Plus ,Yes ,16,Yes ,No ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,8,5s
iphone 5Se,140.0,Yes ,No,2900,Yes ,TFT ,Yes ,16,Yes ,Yes ,2,iOS ,2,1.5,4.4,One SIM ,Micro-SIM ,Yes ,Yes ,,1,5se
Apple iphone 7,270.0,Yes ,Yes,2400,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,8,3.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,7
iphone 8 64GB ⚡გ.ა.ნ.ვ.ა.დ.ე.ბ.ი.თ გ.ა.რ.ა.ნ.ტ.ი.ი.თ⚡,560.0,Yes ,No,2000,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,8,8
iPhone 6s Plus ⚡გ.ა.ნ.ვ.ა.დ.ე.ბ.ი.თ გ.ა.რ.ა.ნ.ტ.ი.ი.,260.0,Yes ,No,2800,No ,LCD ,Yes ,16,Yes ,No ,1,iOS ,12,2.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6s
"Apple Iphone 6S PLus, 32GB 92% batarea, gauxsneli",375.0,Yes ,No,2800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,5.5,One SIM ,Nano-SIM ,No ,Yes ,2015 Y.,5,6s
"იყიდება iphone 11 pro max, 256 GB.",1500.0,Yes ,Yes,800,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,2,iOS ,3,4.0,3.5,One SIM ,Nano-SIM ,No ,Yes ,2021 Y.,5,11 pro
iphone 7 / აიფონ 7 - 32 GB,400.0,Yes ,No,2100,Yes ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,1,7
apple iphone xs 256gb,1100.0,Yes ,No,2200,,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,2,iOS ,48,6.0,5.5,One SIM ,Nano-SIM ,,,2019 Y.,13,xs
