name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,OS version,Selfie Camera,IP Certificate,model
Apple iPhone Xs Max 64GB Space Gray,1173.9,Yes ,No,3200,No ,,Yes ,64,Yes ,Yes ,3,iOS ,2,6,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,1,,xs max
iPhone 11 Pro - Midnight Green,1900,Yes ,No,3100,No ,,Yes ,64,Yes ,No ,3,iOS ,12,4,5.9,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,1,,11 pro
iphone x 2 cali axlebi 256gb,1150,Yes ,Yes,4400,Yes ,AMOLED ,Yes ,256,Yes ,Yes ,1,iOS ,12,4,4.8,One SIM ,Nano-SIM ,Yes ,Yes ,2022 Y.,IOS 15 ,1,IP6x ,x
Iphone 12 Pro Max Pacific Blue,3150,Yes ,No,3700,Yes ,,Yes ,128,Yes ,Yes ,3,iOS ,12,6,6.67,One SIM ,Nano-SIM ,,,2020 Y.,,1,,12 pro
"IPhone XS Max 64 GB -1 წლიანი გარანტიით, განვადებით",1899,Yes ,No,2400,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,iOS 14 ,7,IP5x ,xs max
"IPhone 11 ProMax 64 GB - 1 წლიანი გარანტიით , განვადებით",2799,Yes ,No,3900,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 13 ,12,IP6x ,11
"IPhone X 64GB -1 წლიანი გარანტიით , განავდებით",1399,Yes ,No,1500,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,64,3,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,iOS 14 ,3,IP5x ,x
"IPhone SE 2020 64GB - 1 წლიანი გარანტიით, განვადებით",1049,Yes ,No,1800,Yes ,LCD TFT ,Yes ,128,Yes ,Yes ,2,iOS ,12,3,4.7,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,iOS 14 ,7,IP5x ,se
"IPhone 12 64GB -1 წლიანი გარანტიით,განვადებით",2399,Yes ,No,2800,Yes ,LCD TFT ,Yes ,64,Yes ,No ,2,iOS ,12,4,6.1,One SIM ,Mini-SIM ,Yes ,Yes ,2020 Y.,iOS 14 ,12,IPx8 ,12
"IPhone 11 64GB -1 წლიანი გარანტიით, განვადებით",1799,Yes ,No,3100,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,12,IP5x ,11
iPhone 11 pro max,2200,Yes ,Yes,3100,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,8,IPx6 ,11 pro
Iphone X,1050,Yes ,Yes,1500,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,Android ,2,12,6.7,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,Froyo (2.2–2.2.3) ,1,MIL-STD-810D ,x
Iphone 12 Pro,3000,Yes ,Yes,4400,Yes ,,Yes ,64,Yes ,Yes ,3,iOS ,12,4,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,,,13,,12 pro
IPHONE 12 PRO 128BG,3100,Yes ,Yes,3000,No ,,Yes ,128,Yes ,Yes ,3,iOS ,1,4,6,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,1,,12 pro
iPhone 8,800,No ,No,1900,No ,,Yes ,64,Yes ,No ,1,iOS ,1,4,4.7,One SIM ,Micro-SIM ,No ,Yes ,,,1,,8
iPhone 8+,1150,No ,No,2700,No ,,Yes ,64,Yes ,No ,1,iOS ,1,4,5.5,One SIM ,Nano-SIM ,No ,Yes ,2017 Y.,,1,,8+
Iphone 7 32 GB გარანტიით!,400,Yes ,No,1800,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,32,4,5,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,iOS 14 ,20,IPx8 ,7
Iphone 6s 64GB ამერიკიდან გარანტიით!,280,Yes ,No,1800,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,48,6,4,One SIM ,Micro-SIM ,Yes ,Yes ,2014 Y.,IOS 15 ,32,IPx8 ,6s
Iphone X 256GB გარანტიით იდეალური!,1200,Yes ,Yes,2200,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,41,4,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,48,IPx8 ,x
Iphone 11 Pro Max 64GB ახალივით!,2250,Yes ,Yes,2500,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,3,iOS ,48,4,5.2,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,24,MIL-STD-810D ,11 pro
"Iphone 11 64GB Red,Black 1 წლიანი გარანტიით!",1600,Yes ,Yes,2500,No ,LCD ,Yes ,64,Yes ,Yes ,3,iOS ,64,3,5.5,One SIM ,Micro-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,32,IPx8 ,11
IPhone X 64GB,800,Yes ,No,8000,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,2,4,5.8,One SIM ,Mini-SIM ,Yes ,Yes ,,,1,,x
iphone 7 model-1778 ახალივით სასაჩუკრე!,400,Yes ,No,2000,Yes ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,13,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,,,8,,7
iphone 7 plus ახალივით სასაჩუკრე!,550,Yes ,No,2500,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,16,4,5.1,One SIM ,Nano-SIM ,Yes ,Yes ,,,8,,7
iPhone XS 64GB,1230,Yes ,No,3200,No ,,No ,64,Yes ,No ,2,iOS ,12,4,5.8,One SIM ,Nano-SIM ,No ,No ,2018 Y.,,1,,xs
Apple iPhone SE SIM FREE,870,Yes ,No,1900,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,12,,se
IPHONE 8 BLACK 64GB SIM FREE,550,Yes ,No,1900,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,12,,8
"iPhone SE 2020 64gb white უნაკლო, ახალივით",800,Yes ,No,2600,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,16,6,4.8,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,8,,se
iPhone 7 128GB Sim free Jet Black.,380,Yes ,No,800,Yes ,LCD ,Yes ,128,Yes ,No ,2,iOS ,2,3,4.2,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,iOS 11 ,1,IPx5 ,7
iphone 12 mini,1850,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,5.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,8,,12
iPhone XR Black 64GB Simfree,1100,Yes ,Yes,3000,No ,,Yes ,64,Yes ,Yes ,2,iOS ,20,4,4.9,One SIM ,Mini-SIM ,Yes ,Yes ,,,8,,xr
iphone XS 256GB,1100,Yes ,No,2700,Yes ,AMOLED ,Yes ,256,Yes ,Yes ,3,iOS ,12,3,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,5,,xs
iphone 7 32GB matt black,400,Yes ,No,2300,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,IOS 15 ,5,,7
iPhone 12 Pro Max 256GB Graphite,3500,Yes ,Yes,3600,No ,,Yes ,256,Yes ,Yes ,3,iOS ,12,6,6.7,One SIM ,Nano-SIM ,No ,No ,2020 Y.,,1,,12 pro
iphone 7 32da128 gb,430,Yes ,No,1600,No ,AMOLED ,Yes ,128,Yes ,Yes ,2,iOS ,2,4,6.26,One SIM ,Micro-SIM ,Yes ,Yes ,2018 Y.,iOS 10 ,2,IPx5 ,7
"IPhone 11 Pro Max 256GB -1 წლიანი გარანტიით, განავდებით",3249,Yes ,No,3900,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 14 ,12,IP5x ,11 pro
Iphone X 256GB,1100,Yes ,No,2700,No ,,Yes ,64,Yes ,Yes ,2,iOS ,8,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,,1,,x
iPhone SE 2020,1100,Yes ,Yes,1800,Yes ,,Yes ,64,Yes ,Yes ,1,iOS ,12,3,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,7,,se
iPhone 8,750,Yes ,Yes,1800,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,1,iOS ,12,3,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,7,,8
iphone 7 model-1778 ახალივით სასაჩუკრე!,450,Yes ,No,2000,Yes ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,13,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,,,8,,7
iphone xr 64 gb,1100,Yes ,No,5000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,1,iOS ,1,8,6.2,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,1,,xr
iPhone 7,380,Yes ,Yes,1900,Yes ,,Yes ,32,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,,7,,7
iPhone 8,650,Yes ,No,1800,No ,,Yes ,64,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,,7,,8
iPhone X,1150,Yes ,Yes,3700,Yes ,,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.8,Dual SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,,7,,x
iPhone 12 Pro,3400,Yes ,Yes,2800,Yes ,,Yes ,128,Yes ,Yes ,3,iOS ,12,6,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,12,,12 pro
iPhone 7 Plus,650,Yes ,Yes,2900,Yes ,,Yes ,32,Yes ,Yes ,2,iOS ,12,3,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,,7,,7
iphone 6s 32gb აიფონ 6ს 32გბ,270,Yes ,No,1700,No ,IPS LCD ,Yes ,32,Yes ,Yes ,2,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,IOS 15 ,5,,6s
iphone 8 64gb აიფონ 8 64გბ,600,Yes ,No,1800,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,7,,8
iphone 13 pro max,3700,Yes ,Yes,4300,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,4,iOS ,3,4,6.7,One SIM ,Nano-SIM ,No ,Yes ,2021 Y.,,1,,13 pro max
iPhone XR,1000,Yes ,Yes,2900,No ,Super AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,1,3,6,One SIM ,Nano-SIM ,No ,Yes ,2018 Y.,,1,,xr
iPhone XS,1100,Yes ,Yes,2800,No ,Super AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,1,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,,1,IP6x ,xs
iPhone 11 Pro,1950,Yes ,Yes,3000,Yes ,,Yes ,64,Yes ,Yes ,3,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,12,,11 pro
iPhone 11 Pro Max,2350,Yes ,Yes,3900,Yes ,,Yes ,64,Yes ,Yes ,3,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,12,,11 pro
iPhone SE (2020წ.),1100,Yes ,Yes,2800,Yes ,,Yes ,64,Yes ,Yes ,2,iOS ,12,3,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,7,,se
იყიდება iphone se 2020 64 gb,800,Yes ,Yes,2900,No ,,Yes ,64,Yes ,No ,1,iOS ,1,4,5,One SIM ,Nano-SIM ,No ,No ,2020 Y.,,1,,se
11 Pro Max 64 1 წლიანი გარატია განვადება კრედო,2450,Yes ,Yes,4000,Yes ,AMOLED ,Yes ,4,Yes ,Yes ,3,iOS ,12,3,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,12,,11 pro
iPhone 11 64GB turbo simit 1წლიანი გარანტია განვადება კრედ,1400,Yes ,No,3000,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,12,,11
iphone 12 pro,3300,Yes ,Yes,4555,No ,,No ,64,Yes ,No ,3,iOS ,16,12,5.45,One SIM ,Nano-SIM ,No ,No ,2021 Y.,IOS 15 ,1,,12 pro
iphone 11 აიფონი 11,1700,Yes ,Yes,1700,Yes ,LCD ,Yes ,64,Yes ,Yes ,3,iOS ,2,4,6.2,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,1,,11
iphone XS MAX GOLD 89პროცენტი,1370,Yes ,Yes,2000,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,13,4,5.4,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,iOS 11 ,2,IPx7 ,xs max
iPhone XS 64Gb black sim-free,1350,Yes ,No,2400,Yes,,Yes ,64,Yes ,Yes ,3,iOS ,2,4,5.8,One SIM ,Nano-SIM ,,,2018 Y.,,1,,xs
iPhone XS 64Gb black sim-free,1350,Yes ,No,2400,Yes,,Yes ,64,Yes ,Yes ,3,iOS ,2,4,5.8,One SIM ,Nano-SIM ,,,2018 Y.,,1,,xs
iphone X,1000,Yes ,Yes,10000,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,2,12,5.6,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,,1,IPx8 ,x
iPhone XR 64GB Black,800,Yes ,No,3300,Yes ,LCD ,Yes ,64,Yes ,No ,1,iOS ,12,4,6.3,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,8,IPx7 ,xr
apple iphone Xs gold/ iphone,1100,Yes ,Yes,2000,No ,,Yes ,64,Yes ,Yes ,3,iOS ,12,4,4.7,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,5,,xs
iPhone 7 32gb A1778 sim free,420,Yes ,No,1900,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,iOS 13 ,5,IP5x ,7
iPhone 7 32gb A1778 sim free,420,Yes ,No,1900,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,iOS 13 ,5,IP5x ,7
Iphone 11 Pro Max - ახალი !,2950,Yes ,Yes,8000,No ,,Yes ,64,Yes ,Yes ,3,iOS ,3,12,4.7,One SIM ,Nano-SIM ,No ,No ,2021 Y.,,1,,11 pro
Apple iphone 8 64gb red,650,Yes ,No,2000,No ,,Yes ,64,Yes ,No ,2,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,,1,,8
iphone 7 silver 32 GB,349,Yes ,Yes,2400,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,5,,7
iphone 8 silver 64 GB,630,Yes ,Yes,2700,No ,,Yes ,64,Yes ,Yes ,1,iOS ,12,3,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,8,,8
Iphone 8Plus 64GB Sim Free GSm 4G LTe,900,Yes ,No,2400,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.7,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,iOS 13 ,5,IPx7 ,8+
GARANTIT Saswrafod iyideba iphone 6 16gb originali idealur m,180,Yes ,No,1600,Yes ,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,16,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,iOS 11 ,13,IPx8 ,6
იყიდება iphone 11 pro mindight green 64 GB,2450,No ,No,1200,No ,,Yes ,64,Yes ,No ,3,iOS ,3,4,5.3,Dual SIM ,Nano-SIM ,No ,No ,2019 Y.,,1,,11 pro
Apple iPhone XS 64 Gb white sim free ყუთით და აქსესუარებით,1350,Yes ,No,2900,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,,8,,xs
Apple iphone Xs Max 64GB არჩევით,1350,Yes ,No,3200,No ,,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,,1,,xs max
iPhone 7 32gb simFree,400,Yes ,No,2000,No ,,Yes ,32,Yes ,Yes ,1,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,8,,7
Iphone 8 64GB Simfree,600,Yes ,No,2000,No ,,Yes ,64,Yes ,Yes ,1,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,8,,8
იყიდებ Iphone 5c 5,40,Yes ,No,500,Yes ,LCD ,Yes ,4,No ,Yes ,1,iOS ,1,1,3.5,One SIM ,Mini-SIM ,Yes ,Yes ,2016 Y.,Gingerbread (2.3–2.3.7) ,1,IP5x ,5c
Iphone 6S 16Gb Sim Free GsM,220,Yes ,No,1800,Yes ,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,12,1.5,4.3,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,iOS 12 ,8,IPx6 ,6s
Iphone 6s LCd 100% ორიგინალი,65,Yes ,No,2300,No ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,13,4,5.5,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,8,IPx6 ,6s
iphone 5C T-mobile,50,Yes ,No,1600,No ,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,12,0.5,4,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,iOS 12 ,8,IPx7 ,5c
iphone 8 Plus 64gB Sim Free 4G LTE,650,Yes ,No,2400,No ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.5,One SIM ,Mini-SIM ,No ,Yes ,2018 Y.,IOS 15 ,8,IPx7 ,8
Iphone 8,850,Yes ,No,1600,No ,IPS LCD ,Yes ,64,Yes ,No ,1,iOS ,2,4,5.45,One SIM ,Micro-SIM ,Yes ,Yes ,2021 Y.,iOS 8 ,1,IPx8 ,8
იყიდება Iphone 6s 64GB,300,Yes ,No,1700,No ,IPS LCD ,Yes ,64,Yes ,No ,1,iOS ,1,4,4.7,One SIM ,Nano-SIM ,No ,Yes ,2015 Y.,,2,,6s
iPhone X,1099,Yes ,No,5000,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,1,4,5.9,One SIM ,Nano-SIM ,No ,Yes ,2019 Y.,IOS 15 ,1,MIL-STD-810D ,x
Iphone x,450,Yes ,No,800,Yes ,Foldable Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,2,4,5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,iOS 11 ,2,IPx5 ,x
IPHONE 8. 64GB GOLD,550,Yes ,No,1800,No ,,Yes ,64,Yes ,No ,1,iOS ,12,2,4.7,One SIM ,Micro-SIM ,,,2020 Y.,,7,,8
iphone 12 pro,1200,No ,Yes,4500,Yes,,No ,128,No ,No ,3,iOS ,48,6,6,One SIM ,Nano-SIM ,,,,,1,,12 pro
Iphone 7,300,Yes ,No,2000,No ,,Yes ,32,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,8,,7
iPhone 6s,200,Yes ,No,1700,Yes ,,Yes ,16,Yes ,No ,2,iOS ,1,4,3,One SIM ,Mini-SIM ,Yes ,Yes ,2016 Y.,,1,,6s
Iphone 6,220,Yes ,No,1800,No ,IPS LCD ,Yes ,16,Yes ,No ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,iOS 12 ,1,IPx5 ,6
iPhone 6s 32GB,150,Yes ,No,1200,Yes ,,Yes ,32,Yes ,Yes ,1,iOS ,13,3,5.5,One SIM ,Micro-SIM ,Yes ,Yes ,,,1,,6s
IPhone 11 Pro Max იყიდება,2000,Yes ,No,3900,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 14 ,2,IPx8 ,11 pro
იყიდება iPhone XS 64GB Space Gray,1150,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,7,IP6x ,xs
იყიდება iPhone XS 64GB Gold,1000,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,7,IP6x ,xs
Iphone 4s,80,Yes ,No,2500,Yes ,LCD ,No ,8,No ,No ,1,iOS ,1,2,4,One SIM ,Micro-SIM ,Yes ,No ,2012 Y.,iOS 9 ,1,,4s
iPhone XS აიფონ 10s,1000,Yes ,No,2800,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,8,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,8,,xs
iPhone 6 32GB,500,Yes ,No,2000,Yes ,LCD ,Yes ,32,Yes ,No ,1,iOS ,1,2,4.7,One SIM ,Mini-SIM ,No ,Yes ,2017 Y.,IOS 15 ,1,,6
Iphone Xs,550,Yes ,Yes,2400,Yes ,,Yes ,64,Yes ,Yes ,2,iOS ,2,8,6.67,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,iOS 11 ,1,,xs
Iphone 3 gs,80,Yes ,No,2500,Yes ,LCD ,Yes ,4,No ,No ,1,iOS ,1,2,3.5,One SIM ,Mini-SIM ,Yes ,Yes ,2010 Y.,iOS 6 ,1,,3 gs
"Iphone 6s, 32 gb",300,Yes ,Yes,800,No ,,No ,32,Yes ,No ,2,iOS ,5,4,4.2,One SIM ,Nano-SIM ,,,2011 Y.,,1,,6s
iphone 7 plus 32 GB,650,Yes ,No,2100,No ,,Yes ,64,Yes ,Yes ,2,iOS ,2,4,5.7,One SIM ,Nano-SIM ,No ,Yes ,2017 Y.,,1,,7
იყიდება მეორადი Iphone 8 plus თეთრი,550,No ,Yes,1000,No ,,Yes ,64,Yes ,No ,2,iOS ,3,4,5.5,One SIM ,Mini-SIM ,Yes ,Yes ,2017 Y.,,1,,8
iphone x,450,Yes ,Yes,2300,Yes,,Yes ,256,Yes ,Yes ,3,iOS ,32,4,6,One SIM ,Mini-SIM ,,,,,2,,x
მობილური iphone 6,250,Yes ,Yes,1500,No ,,Yes ,64,Yes ,Yes ,1,iOS ,1,1,5.1,One SIM ,Nano-SIM ,No ,Yes ,2015 Y.,iOS 13 ,1,,6
მობილური iphone 7,400,Yes ,Yes,1500,No ,LCD ,Yes ,64,Yes ,No ,1,iOS ,2,4,5.1,One SIM ,Micro-SIM ,Yes ,Yes ,,,1,,7
