name,price,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Primary Camera,RAM,Screen size,Year,Selfie Camera,model
Apple iPhone Xs Max 64GB Space Gray,1173.9,No,3200,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,3,2,6,6.5,2019,1,xs max
iPhone 11 Pro - Midnight Green,1900,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,No ,3,12,4,5.9,2019,1,11 pro
iphone x 2 cali axlebi 256gb,1150,Yes,4400,Yes ,AMOLED ,Yes ,256,Yes ,Yes ,1,12,4,4.8,2022,1,x
Iphone 12 Pro Max Pacific Blue,3150,No,3700,Yes ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,12,6,6.67,2020,1,12 pro
"IPhone XS Max 64 GB -1 წლიანი გარანტიით, განვადებით",1899,No,2400,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,3,12,4,6.5,2018,7,xs max
"IPhone 11 ProMax 64 GB - 1 წლიანი გარანტიით , განვადებით",2799,No,3900,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,4,6.5,2019,12,11
"IPhone X 64GB -1 წლიანი გარანტიით , განავდებით",1399,No,1500,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,64,3,5.8,2017,3,x
"IPhone SE 2020 64GB - 1 წლიანი გარანტიით, განვადებით",1049,No,1800,Yes ,LCD TFT ,Yes ,128,Yes ,Yes ,2,12,3,4.7,2020,7,se
"IPhone 12 64GB -1 წლიანი გარანტიით,განვადებით",2399,No,2800,Yes ,LCD TFT ,Yes ,64,Yes ,No ,2,12,4,6.1,2020,12,12
"IPhone 11 64GB -1 წლიანი გარანტიით, განვადებით",1799,No,3100,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,12,4,6.1,2019,12,11
iPhone 11 pro max,2200,Yes,3100,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,12,4,6.5,2020,8,11 pro
Iphone X,1050,Yes,1500,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,2,12,6.7,2019,1,x
Iphone 12 Pro,3000,Yes,4400,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,12,4,6.7,2020,13,12 pro
IPHONE 12 PRO 128BG,3100,Yes,3000,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,1,4,6,2020,1,12 pro
iPhone 8,800,No,1900,No ,IPS LCD ,Yes ,64,Yes ,No ,1,1,4,4.7,2017,1,8
iPhone 8+,1150,No,2700,No ,LCD ,Yes ,64,Yes ,No ,1,1,4,5.5,2017,1,8+
Iphone 7 32 GB გარანტიით!,400,No,1800,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,32,4,5,2016,20,7
Iphone 6s 64GB ამერიკიდან გარანტიით!,280,No,1800,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,48,6,4,2014,32,6s
Iphone X 256GB გარანტიით იდეალური!,1200,Yes,2200,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,41,4,5.5,2018,48,x
Iphone 11 Pro Max 64GB ახალივით!,2250,Yes,2500,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,3,48,4,5.2,2019,24,11 pro
"Iphone 11 64GB Red,Black 1 წლიანი გარანტიით!",1600,Yes,2500,No ,LCD ,Yes ,64,Yes ,Yes ,3,64,3,5.5,2019,32,11
IPhone X 64GB,800,No,8000,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,2,4,5.8,2017,1,x
iphone 7 model-1778 ახალივით სასაჩუკრე!,400,No,2000,Yes ,LCD ,Yes ,32,Yes ,Yes ,1,13,4,4.7,2016,8,7
iphone 7 plus ახალივით სასაჩუკრე!,550,No,2500,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,16,4,5.1,2016,8,7
iPhone XS 64GB,1230,No,3200,No ,Super Retina XDR OLED ,No ,64,Yes ,No ,2,12,4,5.8,2018,1,xs
Apple iPhone SE SIM FREE,870,No,1900,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,3,4.7,2020,12,se
IPHONE 8 BLACK 64GB SIM FREE,550,No,1900,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,2,4.7,2019,12,8
"iPhone SE 2020 64gb white უნაკლო, ახალივით",800,No,2600,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,16,6,4.8,2020,8,se
iPhone 7 128GB Sim free Jet Black.,380,No,800,Yes ,LCD ,Yes ,128,Yes ,No ,2,2,3,4.2,2014,1,7
iphone 12 mini,1850,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,5.7,2020,8,12
iPhone XR Black 64GB Simfree,1100,Yes,3000,No ,LCD ,Yes ,64,Yes ,Yes ,2,20,4,4.9,2019,8,xr
iphone XS 256GB,1100,No,2700,Yes ,AMOLED ,Yes ,256,Yes ,Yes ,3,12,3,5.5,2018,5,xs
iphone 7 32GB matt black,400,No,2300,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,12,2,4.7,2015,5,7
iPhone 12 Pro Max 256GB Graphite,3500,Yes,3600,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,12,6,6.7,2020,1,12 pro
iphone 7 32da128 gb,430,No,1600,No ,AMOLED ,Yes ,128,Yes ,Yes ,2,2,4,6.26,2018,2,7
"IPhone 11 Pro Max 256GB -1 წლიანი გარანტიით, განავდებით",3249,No,3900,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,12,4,6.5,2019,12,11 pro
Iphone X 256GB,1100,No,2700,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,8,4,5.8,2017,1,x
iPhone SE 2020,1100,Yes,1800,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,12,3,4.7,2020,7,se
iPhone 8,750,Yes,1800,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,1,12,3,4.7,2019,7,8
iphone 7 model-1778 ახალივით სასაჩუკრე!,450,No,2000,Yes ,LCD ,Yes ,32,Yes ,Yes ,1,13,4,4.7,2016,8,7
iphone xr 64 gb,1100,No,5000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,1,1,8,6.2,2019,1,xr
iPhone 7,380,Yes,1900,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,12,2,4.7,2016,7,7
iPhone 8,650,No,1800,No ,IPS LCD ,Yes ,64,Yes ,Yes ,2,12,2,4.7,2017,7,8
iPhone X,1150,Yes,3700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2017,7,x
iPhone 12 Pro,3400,Yes,2800,Yes ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,12,6,6.1,2020,12,12 pro
iPhone 7 Plus,650,Yes,2900,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,12,3,5.5,2016,7,7
iphone 6s 32gb აიფონ 6ს 32გბ,270,No,1700,No ,IPS LCD ,Yes ,32,Yes ,Yes ,2,12,4,4.7,2015,5,6s
iphone 8 64gb აიფონ 8 64გბ,600,No,1800,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,2,4.7,2018,7,8
iphone 13 pro max,3700,Yes,4300,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,4,3,4,6.7,2021,1,13 pro max
iPhone XR,1000,Yes,2900,No ,Super AMOLED ,Yes ,64,Yes ,Yes ,2,1,3,6,2018,1,xr
iPhone XS,1100,Yes,2800,No ,Super AMOLED ,Yes ,64,Yes ,Yes ,2,1,4,5.8,2018,1,xs
iPhone 11 Pro,1950,Yes,3000,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,12,4,5.8,2020,12,11 pro
iPhone 11 Pro Max,2350,Yes,3900,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,12,4,6.5,2019,12,11 pro
iPhone SE (2020წ.),1100,Yes,2800,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,3,4.7,2020,7,se
იყიდება iphone se 2020 64 gb,800,Yes,2900,No ,Retina IPS LCD ,Yes ,64,Yes ,No ,1,1,4,5,2020,1,se
11 Pro Max 64 1 წლიანი გარატია განვადება კრედო,2450,Yes,4000,Yes ,AMOLED ,Yes ,4,Yes ,Yes ,3,12,3,5.8,2018,12,11 pro
iPhone 11 64GB turbo simit 1წლიანი გარანტია განვადება კრედ,1400,No,3000,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,6.1,2019,12,11
iphone 12 pro,3300,Yes,4555,No ,Super Retina XDR OLED ,No ,64,Yes ,No ,3,16,12,5.45,2021,1,12 pro
iphone 11 აიფონი 11,1700,Yes,1700,Yes ,LCD ,Yes ,64,Yes ,Yes ,3,2,4,6.2,2019,1,11
iphone XS MAX GOLD 89პროცენტი,1370,Yes,2000,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,2,13,4,5.4,2017,2,xs max
iPhone XS 64Gb black sim-free,1350,No,2400,Yes,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,2,4,5.8,2018,1,xs
iPhone XS 64Gb black sim-free,1350,No,2400,Yes,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,2,4,5.8,2018,1,xs
iphone X,1000,Yes,10000,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,2,12,5.6,2018,1,x
iPhone XR 64GB Black,800,No,3300,Yes ,LCD ,Yes ,64,Yes ,No ,1,12,4,6.3,2019,8,xr
apple iphone Xs gold/ iphone,1100,Yes,2000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,12,4,4.7,2019,5,xs
iPhone 7 32gb A1778 sim free,420,No,1900,No ,LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,5,7
iPhone 7 32gb A1778 sim free,420,No,1900,No ,LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,5,7
Iphone 11 Pro Max - ახალი !,2950,Yes,8000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,3,12,4.7,2021,1,11 pro
Apple iphone 8 64gb red,650,No,2000,No ,IPS LCD ,Yes ,64,Yes ,No ,2,12,4,4.7,2018,1,8
iphone 7 silver 32 GB,349,Yes,2400,No ,LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2018,5,7
iphone 8 silver 64 GB,630,Yes,2700,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,12,3,4.7,2018,8,8
Iphone 8Plus 64GB Sim Free GSm 4G LTe,900,No,2400,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,12,3,5.7,2018,5,8+
GARANTIT Saswrafod iyideba iphone 6 16gb originali idealur m,180,No,1600,Yes ,LCD ,Yes ,16,Yes ,Yes ,2,16,2,4.7,2015,13,6
იყიდება iphone 11 pro mindight green 64 GB,2450,No,1200,No ,Super Retina XDR OLED ,Yes ,64,Yes ,No ,3,3,4,5.3,2019,1,11 pro
Apple iPhone XS 64 Gb white sim free ყუთით და აქსესუარებით,1350,No,2900,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,6,2018,8,xs
Apple iphone Xs Max 64GB არჩევით,1350,No,3200,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,4,6.5,2018,1,xs max
iPhone 7 32gb simFree,400,No,2000,No ,LCD ,Yes ,32,Yes ,Yes ,1,12,4,4.7,2019,8,7
Iphone 8 64GB Simfree,600,No,2000,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,12,4,4.7,2019,8,8
იყიდებ Iphone 5c 5,40,No,500,Yes ,LCD ,Yes ,4,No ,Yes ,1,1,1,3.5,2016,1,5c
Iphone 6S 16Gb Sim Free GsM,220,No,1800,Yes ,LCD ,Yes ,16,Yes ,Yes ,2,12,1.5,4.3,2018,8,6s
Iphone 6s LCd 100% ორიგინალი,65,No,2300,No ,LCD ,Yes ,64,Yes ,Yes ,2,13,4,5.5,2018,8,6s
iphone 5C T-mobile,50,No,1600,No ,LCD ,Yes ,16,Yes ,Yes ,2,12,0.5,4,2018,8,5c
iphone 8 Plus 64gB Sim Free 4G LTE,650,No,2400,No ,LCD ,Yes ,64,Yes ,Yes ,2,12,3,5.5,2018,8,8
Iphone 8,850,No,1600,No ,IPS LCD ,Yes ,64,Yes ,No ,1,2,4,5.45,2021,1,8
იყიდება Iphone 6s 64GB,300,No,1700,No ,IPS LCD ,Yes ,64,Yes ,No ,1,1,4,4.7,2015,2,6s
iPhone X,1099,No,5000,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,2,1,4,5.9,2019,1,x
Iphone x,450,No,800,Yes ,Foldable Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,2,4,5,2018,2,x
IPHONE 8. 64GB GOLD,550,No,1800,No ,IPS LCD ,Yes ,64,Yes ,No ,1,12,2,4.7,2020,7,8
iphone 12 pro,1200,Yes,4500,Yes,Super Retina XDR OLED ,No ,128,No ,No ,3,48,6,6,2020,1,12 pro
Iphone 7,300,No,2000,No ,LCD ,Yes ,32,Yes ,Yes ,2,12,2,4.7,2019,8,7
iPhone 6s,200,No,1700,Yes ,IPS LCD ,Yes ,16,Yes ,No ,2,1,4,3,2016,1,6s
Iphone 6,220,No,1800,No ,IPS LCD ,Yes ,16,Yes ,No ,1,12,2,4.7,2014,1,6
iPhone 6s 32GB,150,No,1200,Yes ,IPS LCD ,Yes ,32,Yes ,Yes ,1,13,3,5.5,2015,1,6s
IPhone 11 Pro Max იყიდება,2000,No,3900,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,3,4,6.5,2019,2,11 pro
იყიდება iPhone XS 64GB Space Gray,1150,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,5.8,2018,7,xs
იყიდება iPhone XS 64GB Gold,1000,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,5.8,2018,7,xs
Iphone 4s,80,No,2500,Yes ,LCD ,No ,8,No ,No ,1,1,2,4,2012,1,4s
iPhone XS აიფონ 10s,1000,No,2800,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,12,8,5.8,2018,8,xs
iPhone 6 32GB,500,No,2000,Yes ,LCD ,Yes ,32,Yes ,No ,1,1,2,4.7,2017,1,6
Iphone Xs,550,Yes,2400,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,2,8,6.67,2018,1,xs
Iphone 3 gs,80,No,2500,Yes ,LCD ,Yes ,4,No ,No ,1,1,2,3.5,2010,1,3 gs
"Iphone 6s, 32 gb",300,Yes,800,No ,IPS LCD ,No ,32,Yes ,No ,2,5,4,4.2,2011,1,6s
iphone 7 plus 32 GB,650,No,2100,No ,LCD ,Yes ,64,Yes ,Yes ,2,2,4,5.7,2017,1,7
იყიდება მეორადი Iphone 8 plus თეთრი,550,Yes,1000,No ,IPS LCD ,Yes ,64,Yes ,No ,2,3,4,5.5,2017,1,8
iphone x,450,Yes,2300,Yes,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,3,32,4,6,2017,2,x
მობილური iphone 6,250,Yes,1500,No ,LCD ,Yes ,64,Yes ,Yes ,1,1,1,5.1,2015,1,6
მობილური iphone 7,400,Yes,1500,No ,LCD ,Yes ,64,Yes ,No ,1,2,4,5.1,2016,1,7
Iphone 7,350,No,2700,No ,LCD ,Yes ,32,Yes ,Yes ,1,8,4,4,2016,5,7
Impone 6 გამოგადგებათ ნაწილებადაც!,100,No,1500,No ,LCD ,No ,16,Yes ,No ,2,1,2,4,2014,1,6
იყიდება შავი Iphone 8 plus,950,Yes,1000,No ,IPS LCD ,No ,64,Yes ,No ,1,2,4,5.5,2019,1,8
Iphone 5s gold,160,No,1900,Yes ,LCD ,Yes ,16,Yes ,Yes ,1,1,1,3.5,2013,1,5s
Iphone 12 Pro Max,1000,Yes,1100,Yes ,AMOLED ,Yes ,8,Yes ,No ,0,13,0.5,3,2020,1,12 pro
iphone 12 pro graphite 128 gb,2950,Yes,4100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,4.4,2020,8,12 pro
APPLE IPHONE 7 32GB ID: 163191-2,350,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.5,2016,5,7
APPLE IPHONE X 64GB ID: 163007-2,950,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,3,5.9,2017,7,x
APPLE IPHONE 8 64GB ID:161978-2,550,No,1900,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,12,2,4.7,2017,7,8
11 პრო,2100,No,3200,Yes,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,3,1,4,5.8,2019,1,11
APPLE IPHONE 12 128GB ID: 161361-2,2300,Yes,2900,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,2,12,4,6.15,2020,12,12
Iphone 7 ( 32GB),480,No,1000,No ,LCD ,Yes ,64,Yes ,No ,2,1,4,4.7,2016,1,7
APPLE IPHONE 7 32GB ID: 160881-2,270,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,5,7
Iphone 8 ( 64GB),350,No,1100,No ,IPS LCD ,Yes ,64,Yes ,No ,2,1,4,4.7,2017,1,8
iphone 6s,180,Yes,1700,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,12,2,4.7,2016,1,6s
iphone 7 128GB,470,Yes,7000,No ,Retina IPS LCD ,Yes ,128,Yes ,Yes ,2,12,4,4.7,2019,5,7
iPhone 12 Pro 256GB ბათუმი,3150,Yes,3800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,12,4,6.1,2020,1,12 pro
iphone 5s,90,No,1600,No ,LCD ,Yes ,16,Yes ,No ,2,8,1,4,2013,2,5s
Iphone 6s,230,Yes,2400,Yes ,AMOLED ,Yes ,16,Yes ,Yes ,2,16,3,5.1,2019,5,6s
იყიდება Iphone 8,600,No,4000,Yes ,IPS ,Yes ,64,Yes ,No ,1,1,4,5.2,2018,1,8
iPhone 6s 16GB Sim Free,250,No,2300,Yes ,IPS LCD ,Yes ,16,Yes ,Yes ,1,13,4,5,2018,8,6s
iphone 8 pluse 64 gb,819,No,3000,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,13,3,6.67,2018,8,8
IPHONE 12,2800,No,600,Yes ,IPS ,Yes ,64,Yes ,Yes ,2,2,12,4.1,2020,1,12
iphone 7 128 gb,450,No,2000,Yes ,IPS ,Yes ,128,Yes ,Yes ,2,1,4,5.2,2021,1,7
Iphone xs max,1280,No,1500,No ,TFT ,Yes ,64,Yes ,No ,2,1,4,4.1,2016,1,xs max
Iphone 11 pro 64Gb 93% battery,2150,No,3100,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,3,4,5.8,2019,1,11 pro
iphon X,1050,Yes,800,Yes ,IPS LCD ,Yes ,32,Yes ,Yes ,2,2,2,4.2,2018,1,x
Iphon 8,674.2162162,No,6000,No ,IPS LCD ,Yes ,64,Yes ,Yes ,2,8,4,5.71,2019,5,8
IPhone SE 2020 64 GB,850,Yes,1800,Yes ,Retina IPS LCD ,Yes ,64,Yes ,No ,2,1,4,5.4,2020,1,se
iphone 11 64gb,1500,No,3000,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,No ,2,2,4,6.09,2019,1,11
"იყიდება IPhone 7 Rose Gold, 128 GB",450,No,1200,Yes ,LCD ,Yes ,128,Yes ,No ,2,2,8,4.2,2016,1,7
Iphone 11,1800,No,3100,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,6.1,2019,24,11
Iphone 7 (32GB),450,Yes,1000,No ,LCD ,Yes ,64,Yes ,No ,2,1,4,4.9,2016,1,7
Iphone 6,200,Yes,500,No ,TFT ,Yes ,64,Yes ,Yes ,1,1,12,3,2014,1,6
Iphone XR 128gb,950,No,1600,No ,LCD ,Yes ,128,Yes ,No ,1,12,4,6,2019,1,xr
IPHONE XS PRO MAX 512 GB შავი,1500,No,3100,No ,Super Retina XDR OLED ,Yes ,512,Yes ,Yes ,4,12,4,6.5,2018,7,xs pro
Iphone 6s,250,No,1700,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2015,1,6s
iphone 11 pro max,2300,No,5500,Yes,Super Retina XDR OLED ,No ,64,Yes ,No ,3,3,6,6.26,2021,2,11 pro
iphone x 256 gb აიფონ x 256 გბ,1000,No,1100,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,12,4,6.7,2020,1,x
iphone 7 32gb,380,No,2000,No ,LCD ,Yes ,64,Yes ,Yes ,1,12,4,4.7,2016,5,7
iphone 6s 32gb,320,No,2100,No ,IPS ,Yes ,32,Yes ,Yes ,2,13,4,4.7,2015,8,6s
iphone 6s 16gb,300,No,2000,No ,IPS LCD ,Yes ,16,Yes ,Yes ,2,13,4,4.7,2015,8,6s
iphone 6s 16gb,280,No,2100,No ,Retina IPS LCD ,Yes ,16,Yes ,Yes ,2,13,4,4.7,2015,5,6s
iphone 5c 16gb,140,No,1900,Yes ,LCD ,Yes ,16,Yes ,No ,1,5,1,4,2016,5,5c
iphone 5 32GB,150,No,1800,No ,IPS ,Yes ,32,Yes ,No ,1,5,1,4,2012,5,5
iPhone XS 256 GB Gold გაბზარულია უკან,1000,No,2600,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,2,12,4,5.8,2018,7,xs
APPLE IPHONE XS 64GB ID: 163260-4,1150,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,5.8,2018,7,xs
iphone 12 pro max,2800,Yes,3600,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,12,6,6.7,2020,1,12 pro
iPhone 6 16 GB განვადებათბს საქართველო კრედო ბანკი,270,No,1700,Yes ,LCD ,Yes ,16,Yes ,Yes ,1,12,1,4.7,2016,12,6
"iPhone 8 64GB 1წლიანი გარანტია, განვადება კრედო,",800,No,1800,Yes ,LCD ,Yes ,64,Yes ,Yes ,1,12,2,4.7,2017,8,8
iphone 4s iafad,50,No,1500,No ,LCD ,No ,16,No ,No ,2,8,0.5,3.5,2011,1,4s
iphone 5 16 GB uproblemo,90,No,1500,No ,IPS ,Yes ,16,Yes ,No ,2,8,1,4,2012,2,5
