name,price,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Primary Camera,RAM,Screen size,Year,Selfie Camera,model
iphone 6s,200,No,1700,No ,IPS LCD ,No ,64,No ,No ,2,12,3,4.7,2015,1,6s
iPhone 6 16 GB,150,No,1800,No ,LCD ,Yes ,64,Yes ,Yes ,2,1,4,4.7,2014,1,6
"IPhone 8 64 GB -1 წლიანი გარანტიით, განავდებით",1000,No,1800,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,12,2,4.7,2017,7,8
"IPhone XR 64GB -1 წლიანი გარანტიით,განავდებით",999,No,1800,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2018,12,xr
"Apple Iphone 11 Pro 256GB -1 წლიანი გარანტიით, განვადებით",2649,No,3000,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,12,4,5.8,2019,12,11 pro
"IPhone X 64GB -1 წლიანი გარანტიით,განვადებით",1399,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2017,7,x
"IPhone X 64GB -1 წლიანი გარანტიით, განვდებით",999,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2017,7,x
"IPhone X 64GB -1 წლიანი გარანტიით, განვადებით",1299,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2017,7,x
"IPhone 8 64GB -1 წლიანი გარანტიით, განვადებით",949,No,1800,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,12,2,4.7,2017,7,8
"IPhone 8 64GB GOLD -1 წლიანი გარანტიით, განვადებით",899,No,1800,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,12,2,4.7,2017,7,8
iphone 7 dazianebulia,170,No,2000,No ,LCD ,Yes ,32,Yes ,Yes ,2,12,2,4.7,2016,7,7
saswrafod!!! iphone 6 plus sim free,180,No,3000,No ,LCD ,Yes ,16,Yes ,Yes ,2,8,1,5.5,2014,5,6
"IPhone X 64GB -1 წლიანი გარანტიით, განვადებით",1399,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2018,7,x
Apple 8 Plus 64GB - 1 წლიანი გარანტიით განვადებით,1199,No,2600,No ,LTPS IPS LCD ,Yes ,64,Yes ,Yes ,2,12,3,5.5,2017,7,8+
"IPhone Xs Max 512GB -1 წლიანი გარანტიით, განვადებით",2499,No,3000,Yes ,Dynamic AMOLED ,Yes ,512,Yes ,Yes ,2,12,4,6.5,2018,7,xs max
"IPhone 11 Pro max 64GB -1წლიანი გარანტიით, განვადებით",2949,Yes,3900,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,4,6.5,2019,7,11 pro
"IPhone 6S 32 GB - 1 წლიანი განვადებით, გარანტიით",420,No,1700,Yes ,LCD TFT ,Yes ,32,Yes ,Yes ,2,12,2,4.7,2015,5,6s
"IPhone 11 Pro Max 64 GB - 1 წლიანი გარანტიით, განავდებით",2799,No,3900,No ,Dynamic AMOLED ,Yes ,64,Yes ,No ,2,12,4,6.5,2019,12,11 pro
"IPhone 6S Plus 64 GB -1 წლიანი გარანტიით, განვადებით",699,No,2700,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,12,2,5.5,2015,7,6s
IPhone XS 64GB -1 წლიანი გარანტიით,1599,No,2600,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,4,5.8,2019,7,xs
"IPhone XS 64GB -1 წლიანი გარანტიით, განვადებით",1599,No,2700,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2018,7,xs
"IPhone 6 Plus 16 GB -1 წლიანი გარანტიით, განვადებით",499,No,2900,No ,LCD TFT ,Yes ,16,Yes ,Yes ,2,8,1,5.5,2016,1,6
iphone 11,1400,No,3400,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,2,4,6.26,2019,1,11
iPhone XS,1300,No,3000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,6.1,2019,5,xs
iPhone 7,350,No,1900,Yes ,LCD ,Yes ,128,Yes ,Yes ,2,12,2,4.7,2019,5,7
Iphone Xs,1350,Yes,2600,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,1,12,4,6,2019,1,xs
Iphone 12 pro max,3300,Yes,3700,Yes ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,12,6,6.7,2020,12,12 pro
Iphone 12 .,2400,Yes,2800,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,6.1,2020,12,12
Iphone 11 pro,2300,Yes,3100,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,12,4,6.5,2020,8,11 pro
iPhone 7 32 Gb,500,No,1700,Yes ,IPS ,Yes ,32,Yes ,Yes ,1,1,2,4.7,2019,1,7
iPhone 12 Pro MAX 256GB,3100,Yes,4300,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,12,6,6.67,2020,8,12 pro
iPhone X 64 GB,750,Yes,2700,No ,Dynamic AMOLED ,Yes ,64,Yes ,No ,2,2,4,5.8,2017,1,x
iphone 5s არ ირთვება,30,No,1300,No ,LCD ,Yes ,16,Yes ,No ,2,1,2,4.2,2012,1,5s
Apple Iphone 11 pro max 64GB gold,2300,No,3200,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,3,4,6.7,2019,2,11 pro
Apple Iphone 11 pro max 64GB gold,2300,No,3200,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,3,4,6.7,2019,2,11 pro
Apple Iphone 11 pro 256GB,2300,No,2400,Yes ,Super AMOLED ,Yes ,256,Yes ,Yes ,3,3,4,5.8,2019,1,11 pro
iPhone 7 32 gb sim free,400,Yes,2000,Yes ,LCD TFT ,Yes ,32,Yes ,Yes ,1,20,4,4,2018,13,7
iPhone X 64GB Sim Free,1100,Yes,3500,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,48,8,5,2018,20,x
iphone 11 Pro,2050,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,12,4,5.8,2020,12,11 pro
Iphone 11 green 64gb,1550,Yes,700,Yes ,LCD ,Yes ,4,Yes ,Yes ,1,2,0.5,4,2000,1,11
Apple iPhone 6s 32GB,270,No,1800,No ,Retina IPS LCD ,Yes ,32,Yes ,No ,1,12,4,4.7,2016,7,6s
IPHONE 11 PRO MAX 646GB Space Gray 91%,2450,No,4000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,12,4,6.5,2020,12,11 pro
IPHONE X 64GB Silver 96%,1000,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,5.8,2018,7,x
IPHONE 8 64GB Red,600,No,2000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,12,4,4.7,2017,7,8
IPHONE XR Black 64GB 89%,1000,No,3000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,12,4,6.1,2019,7,xr
Apple iPhone SE (2020) 88% Space Gray,820,No,2000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,12,4,4.7,2020,7,se
Iphone 11 Purple 85% ტურბო სიმი ნაკაწრები.,1200,No,3100,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,6.1,2020,12,11
IPHONE 11 PRO Space Gray 64GB,1950,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,12,4,5.8,2020,12,11 pro
IPHONE XS 256GB Space Gray. ყუთით დაზიანებული,800,No,2800,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,2,12,4,5.8,2018,7,xs
IPHONE 8 64GB Space Gray,600,No,2000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,12,4,4.7,2018,7,8
დაბლოკილი!!! IPHONE XR Black - Blue 64GB,400,No,3000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,12,4,6.1,2019,7,xr
IPHONE 5 აიქლაუდზე დაბლოკილი ნაწილებად.,50,No,1500,No ,IPS ,Yes ,16,Yes ,No ,1,8,4,4,2015,5,5
IPHONE 11 PRO Silver 64GB,1950,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,12,4,5.8,2020,12,11 pro
IPHONE 8 PLUS Red 64GB,630,No,2700,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,5.5,2018,7,8
iphone 8 black 64 GB,629,Yes,2600,No ,LCD ,Yes ,64,Yes ,Yes ,1,12,3,4.7,2018,8,8
iphone 6s 64GB,180,No,1700,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,12,2,4.7,2015,8,6s
Iphone 7,430,Yes,4500,Yes ,IPS ,Yes ,64,Yes ,Yes ,2,64,4,5.1,2020,1,7
iphone 7 black 32 GB,399,Yes,2600,No ,LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2018,8,7
iphone 6s space gray 32 GB,299,Yes,2600,No ,LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2018,5,6s
iphone 7 silver 32 gb,350,Yes,2700,Yes ,LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2018,8,7
iphone 7,330,No,1800,No ,LCD ,Yes ,32,Yes ,Yes ,2,1,2,4.6,2017,1,7
iPhone 11,1850,No,3100,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,6.5,2020,13,11
IPHONE 6 16GB აიქლაუდზე დაბლოკილი,90,No,1800,No ,Retina IPS LCD ,Yes ,16,Yes ,No ,1,8,4,4.7,2018,5,6
Iphone 12 Pro max,3550,Yes,3700,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,12,6,6.7,2020,12,12 pro
iPhone 11 pro max 512gb,2700,No,4000,Yes ,Super Retina XDR OLED ,Yes ,512,Yes ,Yes ,3,64,4,6.5,2019,1,11 pro
Iphone 7 ყუთით და კარგ მდგომარეობაში,450,Yes,900,No ,LCD ,Yes ,32,Yes ,No ,2,2,4,5.3,2016,1,7
იყიდება აიფონ 11-iphone 11,1900,Yes,2400,No ,IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,6.5,2019,1,11
iphon xs max,1330,No,2800,No ,LCD ,Yes ,256,Yes ,Yes ,3,12,4,6.5,2019,8,xs max
სასწრაფოდ! იყიდება Iphone XS.,2000,No,1000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,64,8,4.3,2019,1,xs
Iphone xs,1150,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,5.8,2019,8,xs
iphone 5s 16 gb,130,No,500,No ,LCD ,Yes ,16,Yes ,No ,1,1,12,3,2000,1,5s
Apple iPhone 7 Plus 32GB Gold,480,No,2900,No ,LCD ,Yes ,32,Yes ,Yes ,2,8,2,5.5,2016,1,7
iphone se 2020,710,No,1800,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,3,4.7,2020,8,se
Iphone 7 32Gb Matte Black,400,No,1900,No ,LCD ,Yes ,32,Yes ,No ,1,12,2,4.7,2016,7,7
Iphone SE 2020,1100,Yes,3000,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,12,4,4.7,2020,1,se
iphone 6S აიფონ 6ს,320,No,2400,Yes ,AMOLED ,Yes ,16,Yes ,No ,1,1,2,3.5,2015,1,6s
iphone 8,650,No,1900,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,1,4,6.5,2018,1,8
Iphone X 64 gb,1037.433333,No,500,No ,LCD ,Yes ,64,Yes ,No ,1,1,12,6.47,2017,1,x
iphone xs max 64gb,1200,No,3200,Yes,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,1,12,4,6.5,2019,7,xs max
Iphone 5 SE,200,No,600,No ,IPS ,Yes ,64,Yes ,No ,2,2,4,4.2,2012,1,5
iPhone 7 plus 32 GB,615,No,3000,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,64,3,5.5,2016,64,7+
IPHONE 12 PRO MAX 256GB ID:151878-2,3350,Yes,4700,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,12,6,6.5,2021,12,12 pro
APPLE IPHONE 8 64GB ID:158715-V,600,No,1900,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,12,2,4.7,2017,7,8
APPLE IPHONE 12 MINI 64GB ID: 153558-V,1800,Yes,2300,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,5.2,2020,13,12
IPHONE 11 64GB RED ID:155288-3,1700,No,3100,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,6.3,2019,12,11
IPHONE 6S 32GB ID: 144250-4,280,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,5,6s
APPLE IPHONE 11 64GB ID:160773-3,1900,No,3100,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,64,4,6.59,2019,12,11
APPLE IPHONE 7 32GB ID: 159664-2,380,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.5,2016,5,7
APPLE IPHONE 7 32GB ID: 159664-2,380,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.5,2016,5,7
APPLE IPHONE 6S 32GB ID: 159751-4,270,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,5,6s
IPHONE SE 2020 64GB ID: 153386-1,900,No,1900,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,12,3,4.6,2020,7,se
IPHONE 7 32GB A1778 ID: 149655-2,350,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,7,7
IPHONE 6S 32GB ID: 158325-2,260,No,1800,No ,IPS LCD ,Yes ,32,Yes ,No ,1,12,2,4.7,2015,2,6s
IPHONE 6S 16 GB ID:120774-4,270,No,1800,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,12,2,4.7,2016,5,6s
IPHONE 6S 16GB ID: 154264-1,200,No,1800,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,12,2,4.5,2015,5,6s
APPLE IPHONE 11 64GB ID:159461-2,1750,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,6.7,2019,12,11
IPHONE 6S 32GB ID: 158325-2,260,No,1800,No ,IPS LCD ,Yes ,32,Yes ,No ,1,12,2,4.7,2015,2,6s
IPHONE 7 32GB A1778 ID: 149655-2,350,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,7,7
IPHONE SE 2020 64GB ID: 153386-1,900,No,1900,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,12,3,4.6,2020,7,se
APPLE IPHONE 6S 32GB ID: 159751-4,270,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,5,6s
APPLE IPHONE 7 32GB ID: 159664-2,380,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.5,2016,5,7
APPLE IPHONE 11 64GB ID:160773-3,1900,No,3100,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,64,4,6.59,2019,12,11
IPHONE 6S 32GB ID: 144250-4,280,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,5,6s
IPHONE 11 64GB RED ID:155288-3,1700,No,3100,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,6.3,2019,12,11
IPHONE 7 32 GB ID: 145922-4,300,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,7,7
APPLE IPHONE 11 64 GB ID: 153088-V,1800,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,6.7,2019,12,11
APPLE IPHONE 6S 32GB ID: 157974-V,220,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,5,6s
IPHONE 6S 16GB ID: 147872-1,260,No,1800,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,12,2,4.7,2015,5,6s
APPLE IPHONE 8 PLUS 64GB ID: 155615-V,780,No,2700,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,3,5.7,2017,7,8
IPHONE 12 PRO MAX 128GB ID:131485-2,3250,Yes,3700,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,12,6,6.7,2020,12,12 pro
APPLE IPHONE 7 32GB A1660 ID: 157539-V,270,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.6,2016,5,7
IPHONE 12 PRO MAX 128GB ID:147383-3,2950,Yes,4700,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,12,6,6.53,2021,12,12 pro
IPHONE 11 64 GB ID: 157361-3,1850,No,3200,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,6.1,2019,12,11
IPHONE 11 64 GB ID: 157361-3,1850,No,3200,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,6.1,2019,12,11
IPHONE 7 32GB ID: 153549-2,400,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,7,7
IPHONE SE 2020 64GB ID: 159825-1,870,No,1900,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,12,3,4.7,2020,7,se
IPHONE 11 64GB RED ID:157744-V,1800,No,3100,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,6.7,2019,12,11
IPHONE 7 32GB ID: 126318-4,300,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,5,7
IPHONE 12 PRO 128GB ID: 152947-1,3100,Yes,2900,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,32,6,6.1,2020,12,12 pro
IPHONE 7 PLUS 32GB ID: 125293-4,350,No,2900,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,12,3,5.5,2016,7,7
IPHONE 5S 16GB ID:110832-4,90,No,1600,No ,IPS LCD ,Yes ,16,Yes ,No ,1,8,1,4,2013,1,5s
APPLE IPHONE 11 64GB ID:157865-V,1700,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,6.7,2019,12,11
IPHONE 11 PRO 64 GB ID: 140470-V,1900,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,12,6,6.2,2019,13,11 pro
APPLE IPHONE 6 16GB ID:125915-V,150,No,1800,Yes ,IPS LCD ,Yes ,16,Yes ,No ,1,12,1,4.6,2015,5,6
IPHONE 7 32GB ID: 153549-2,400,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,7,7
IPHONE 11 64 GB ID: 157361-3,1850,No,3200,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,6.1,2019,12,11
APPLE IPHONE 6S 32GB ID: 146091-V,270,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,1,4.7,2016,5,6s
APPLE IPHONE 7 32 GB ID: 145513-V,350,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,5,7
IPHONE 6S 32GB ID: 157300-2,250,No,1800,No ,IPS LCD ,Yes ,32,Yes ,No ,1,12,2,4.7,2015,5,6s
APPLE IPHONE X 64GB ID: 150601-V,1100,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2017,7,x
APPLE IPHONE 8 64GB ID:158723-V,580,No,1900,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,12,2,4.6,2017,7,8
IPHONE 6S 16GB ID: 147222-1,180,No,1800,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,12,2,4.6,2015,5,6s
IPHONE 6S 16 GB ID:150496-4,230,No,1800,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,12,2,4.7,2015,5,6s
APPLE IPHONE 8 64 GB ID: 151080-V,480,No,1900,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,12,2,4.7,2017,8,8
APPLE IPHONE X 64GB ID: 150601-V,1100,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2017,7,x
IPHONE 6S 32GB ID: 157300-2,250,No,1800,No ,IPS LCD ,Yes ,32,Yes ,No ,1,12,2,4.7,2015,5,6s
APPLE IPHONE 7 32 GB ID: 145513-V,350,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,5,7
APPLE IPHONE 6S 32GB ID: 146091-V,270,No,1800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,1,4.7,2016,5,6s
iphone x saswrapot 900 gel,880,Yes,2700,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,2,13,3,5.8,2018,8,x
"იყიდება iphone 7 gold, თავის ყუთით უნაკაწრო იდეალურ მდგომარე",500,No,1000,Yes ,IPS LCD ,Yes ,32,Yes ,Yes ,1,1,4,6,2017,1,7
Iphone 7 აიფონი 7,589,Yes,700,No ,LCD ,Yes ,128,Yes ,Yes ,1,1,1,3.5,2016,1,7
iphone 7+,680,No,2900,No ,LCD ,Yes ,32,Yes ,No ,1,12,3,5.5,2016,8,7+
ipnone 5s,170,No,1600,Yes ,Super AMOLED Plus ,Yes ,16,Yes ,No ,1,12,2,4.7,2014,8,5s
Apple iphone 7,270,Yes,2400,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,8,3,4.7,2018,8,7
iphone 8 64GB ⚡გ.ა.ნ.ვ.ა.დ.ე.ბ.ი.თ გ.ა.რ.ა.ნ.ტ.ი.ი.თ⚡,560,No,2000,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,12,2,4.7,2017,8,8
iPhone 6s Plus ⚡გ.ა.ნ.ვ.ა.დ.ე.ბ.ი.თ გ.ა.რ.ა.ნ.ტ.ი.ი.,260,No,2800,No ,LCD ,Yes ,16,Yes ,No ,1,12,2,5.5,2015,5,6s
"Apple Iphone 6S PLus, 32GB 92% batarea, gauxsneli",375,No,2800,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,5.5,2015,5,6s
"იყიდება iphone 11 pro max, 256 GB.",1500,Yes,800,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,2,3,4,3.5,2021,5,11 pro
iphone 7 / აიფონ 7 - 32 GB,400,No,2100,Yes ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.8,2017,1,7
